Date,Open,High,Low,Close,Volume
09/29/2020,"147.60","147.92","146.06","147.06","6,771,016"
09/28/2020,"146.73","148.29","146.42","147.11","5,843,189"
09/25/2020,"144.00","146.25","143.89","145.66","5,531,209"
09/24/2020,"144.56","145.25","143.34","144.67","5,614,844"
09/23/2020,"147.48","147.55","144.38","144.44","8,784,436"
09/22/2020,"144.69","145.35","143.72","144.21","5,295,917"
09/21/2020,"147.58","147.93","142.96","145.10","7,574,501"
09/18/2020,"146.51","149.65","146.20","149.18","12,174,040"
09/17/2020,"148.04","148.63","146.05","147.17","5,461,414"
09/16/2020,"149.39","150.06","148.35","148.40","4,323,502"
09/15/2020,"149.45","150.59","148.52","148.89","3,659,221"
09/14/2020,"148.12","149.47","148.01","148.35","4,375,798"
09/11/2020,"147.05","148.53","146.63","147.78","3,934,691"
09/10/2020,"149.25","149.78","146.52","146.91","6,191,800"
09/09/2020,"148.15","151.10","148.12","149.70","6,960,668"
09/08/2020,"150.25","150.89","146.90","147.26","8,756,842"
09/04/2020,"150.17","150.95","147.13","148.59","7,200,065"
09/03/2020,"154.83","155.47","148.30","149.55","8,672,808"
09/02/2020,"150.79","154.33","149.25","153.83","6,881,856"
09/01/2020,"153.87","154.08","150.07","151.52","6,309,237"
08/31/2020,"153.00","154.40","152.26","153.41","6,362,683"
08/28/2020,"152.74","153.70","151.90","153.64","5,395,684"
08/27/2020,"152.42","153.26","151.89","152.98","5,575,432"
08/26/2020,"151.86","152.65","150.64","152.30","8,008,292"
08/25/2020,"152.78","153.07","151.54","152.06","3,863,477"
08/24/2020,"152.74","152.90","150.35","152.15","5,387,937"
08/21/2020,"151.78","153.65","150.59","152.76","6,722,759"
08/20/2020,"149.75","151.58","149.55","151.42","4,874,739"
08/19/2020,"149.58","151.58","149.32","150.39","7,816,251"
08/18/2020,"149.26","150.10","148.57","150.09","4,322,567"
08/17/2020,"148.32","150.23","148.23","148.99","4,306,909"
08/14/2020,"147.61","149.34","147.58","148.24","4,240,189"
08/13/2020,"148.54","149.19","147.53","148.00","5,155,457"
08/12/2020,"147.54","150.24","147.49","149.66","5,258,127"
08/11/2020,"149.14","149.23","146.37","146.97","6,388,389"
08/10/2020,"148.86","149.01","147.72","148.03","4,096,620"
08/07/2020,"147.51","148.65","147.15","148.60","3,635,071"
08/06/2020,"148.40","149.25","146.50","147.55","4,837,865"
08/05/2020,"149.10","149.31","147.80","148.40","5,493,196"
08/04/2020,"146.99","147.22","145.82","147.22","4,162,154"
08/03/2020,"146.39","147.79","146.15","147.35","4,079,755"
07/31/2020,"146.66","147.45","143.96","145.76","8,257,997"
07/30/2020,"147.44","147.50","146.14","146.84","5,922,481"
07/29/2020,"146.39","147.47","146.07","146.54","4,489,147"
07/28/2020,"147.40","147.99","146.75","146.83","4,842,184"
07/27/2020,"147.37","148.92","146.86","147.18","5,675,155"
07/24/2020,"150.50","150.60","147.03","148.12","5,405,867"
07/23/2020,"150.21","150.85","149.28","149.61","6,566,269"
07/22/2020,"149.93","150.41","147.85","150.01","5,910,193"
07/21/2020,"149.60","151.67","149.50","149.74","5,579,687"
07/20/2020,"150.23","150.32","148.43","149.60","6,191,457"
07/17/2020,"150.00","150.58","148.69","149.35","7,444,124"
07/16/2020,"148.68","149.34","146.68","149.25","9,304,669"
07/15/2020,"149.73","150.21","148.23","148.26","8,512,838"
07/14/2020,"145.32","148.39","145.26","147.92","7,447,125"
07/13/2020,"143.61","146.64","143.28","145.21","6,951,941"
07/10/2020,"142.75","142.87","141.43","142.37","4,282,406"
07/09/2020,"142.76","144.43","140.58","142.49","5,738,564"
07/08/2020,"142.87","143.39","141.70","143.27","6,257,537"
07/07/2020,"141.39","143.97","141.23","142.85","5,622,609"
07/06/2020,"142.17","143.77","141.88","142.98","6,156,354"
07/02/2020,"141.25","141.84","140.33","140.97","5,152,238"
07/01/2020,"140.69","141.39","140.06","140.38","6,175,020"
06/30/2020,"139.40","141.02","137.84","140.63","7,738,296"
06/29/2020,"138.74","139.70","137.98","139.04","5,309,797"
06/26/2020,"139.53","139.60","137.02","137.81","12,849,740"
06/25/2020,"140.57","140.57","137.54","139.67","7,421,160"
06/24/2020,"141.49","142.19","138.72","139.82","8,211,239"
06/23/2020,"143.74","144.08","142.68","142.86","5,921,594"
06/22/2020,"143.47","143.66","142.03","143.39","5,285,631"
06/19/2020,"145.79","145.88","143.25","143.83","12,194,090"
06/18/2020,"142.52","144.12","141.87","143.41","4,797,449"
06/17/2020,"144.90","145.42","143.47","144.02","5,100,095"
06/16/2020,"144.09","145.42","142.77","144.46","7,582,631"
06/15/2020,"141.00","142.40","139.39","141.25","8,655,014"
06/12/2020,"142.84","143.71","140.28","142.15","8,687,356"
06/11/2020,"148.58","149.17","140.75","140.87","11,913,270"
06/10/2020,"146.60","150.03","146.60","147.80","10,137,070"
06/09/2020,"148.25","149.33","145.65","145.96","8,247,233"
06/08/2020,"145.88","147.61","145.74","146.77","7,555,622"
06/05/2020,"147.69","149.64","146.60","147.30","9,725,441"
06/04/2020,"146.80","148.37","145.58","146.73","8,170,480"
06/03/2020,"148.52","149.14","146.45","148.65","6,339,468"
06/02/2020,"147.06","148.35","146.12","148.25","6,078,311"
06/01/2020,"147.29","148.34","146.01","147.19","6,142,580"
05/29/2020,"147.96","149.35","145.33","148.75","8,505,215"
05/28/2020,"146.02","148.11","145.81","146.97","6,190,582"
05/27/2020,"144.32","145.25","143.01","144.89","7,950,008"
05/26/2020,"146.19","146.44","144.30","144.56","7,072,258"
05/22/2020,"144.57","146.29","144.06","144.37","6,140,899"
05/21/2020,"148.50","148.50","145.82","146.71","6,487,343"
05/20/2020,"149.75","150.39","147.27","147.68","5,713,440"
05/19/2020,"150.10","151.10","148.40","149.02","6,107,256"
05/18/2020,"152.49","153.62","150.46","150.52","7,389,995"
05/15/2020,"147.87","150.48","145.66","150.44","10,340,400"
05/14/2020,"145.39","147.76","144.26","147.64","6,871,412"
05/13/2020,"146.08","148.95","146.01","147.13","6,970,457"
05/12/2020,"150.10","150.34","147.03","147.14","7,039,227"
05/11/2020,"148.45","150.10","148.12","149.11","5,887,489"
05/08/2020,"148.92","149.18","147.89","148.70","4,712,477"
05/07/2020,"149.37","149.53","147.13","147.59","5,571,034"
05/06/2020,"150.00","150.32","148.04","148.08","6,191,594"
05/05/2020,"149.00","150.78","148.64","149.50","6,562,288"
05/04/2020,"148.77","149.08","147.09","148.27","7,198,409"
05/01/2020,"149.62","149.67","146.79","148.29","7,308,960"
04/30/2020,"148.46","150.43","147.16","150.04","14,829,600"
04/29/2020,"151.38","151.63","149.16","150.24","9,285,216"
04/28/2020,"151.25","153.10","150.70","151.39","8,558,719"
04/27/2020,"154.81","156.05","154.00","154.29","8,924,048"
04/24/2020,"155.57","156.30","153.64","154.86","8,654,126"
04/23/2020,"154.25","157.00","153.70","155.51","10,665,020"
04/22/2020,"152.81","155.00","151.73","152.99","11,518,320"
04/21/2020,"150.12","151.64","148.57","149.68","9,951,106"
04/20/2020,"150.93","153.00","150.09","151.67","12,226,200"
04/17/2020,"151.99","152.30","149.60","152.02","10,920,020"
04/16/2020,"148.31","150.68","146.44","149.67","12,181,700"
04/15/2020,"145.55","147.91","143.54","147.66","11,962,260"
04/14/2020,"145.42","147.42","144.05","146.03","13,838,020"
04/13/2020,"140.00","141.49","137.84","139.77","8,153,228"
04/09/2020,"144.01","145.42","140.28","141.23","11,127,210"
04/08/2020,"137.75","144.13","137.30","143.26","10,758,180"
04/07/2020,"139.86","142.03","137.26","137.48","11,567,070"
04/06/2020,"137.01","140.97","135.54","139.76","14,904,500"
04/03/2020,"132.38","134.79","131.58","134.17","10,071,180"
04/02/2020,"129.12","134.00","127.22","133.15","11,594,460"
04/01/2020,"127.70","130.23","125.50","128.81","12,606,080"
03/31/2020,"134.99","135.71","130.05","131.13","15,746,120"
03/30/2020,"128.46","133.99","127.50","133.01","21,754,029"
03/27/2020,"121.65","127.62","120.58","123.16","12,133,220"
03/26/2020,"120.57","127.10","120.38","126.57","15,068,650"
03/25/2020,"118.91","123.96","116.70","119.40","13,986,050"
03/24/2020,"118.76","119.65","113.86","119.18","17,604,770"
03/23/2020,"117.00","118.56","109.16","111.14","20,815,230"
03/20/2020,"126.83","127.44","118.13","119.89","19,785,131"
03/19/2020,"134.99","134.99","126.15","127.05","18,482,340"
03/18/2020,"131.02","135.67","128.71","134.96","17,521,131"
03/17/2020,"128.55","136.77","127.81","136.59","18,911,760"
03/16/2020,"123.57","133.76","122.43","127.13","18,877,920"
03/13/2020,"129.32","134.92","124.65","134.29","20,084,150"
03/12/2020,"127.31","133.77","124.50","125.41","21,539,199"
03/11/2020,"138.09","138.75","131.50","131.80","17,768,061"
03/10/2020,"139.97","141.95","134.23","141.64","12,698,070"
03/09/2020,"136.33","139.68","134.90","136.44","13,848,570"
03/06/2020,"138.48","143.01","137.41","142.03","12,239,090"
03/05/2020,"140.80","142.68","139.84","142.01","11,339,190"
03/04/2020,"137.68","143.64","137.14","143.48","10,560,820"
03/03/2020,"140.00","140.99","133.10","135.59","13,662,450"
03/02/2020,"134.78","140.13","134.01","140.02","11,508,230"
